Date,AIA.AX,ALL.AX,AMC.AX,ANZ.AX,APA.AX,ASX.AX,BHP.AX,BSL.AX,BXB.AX,CBA.AX,COH.AX,COL.AX,CSL.AX,DXS.AX,FMG.AX,FPH.AX,GMG.AX,IAG.AX,JHX.AX,MGOC.AX,MGR.AX,MQG.AX,NAB.AX,NST.AX,QBE.AX,REA.AX,REH.AX,RHC.AX,RIO.AX,RMD.AX,S32.AX,SCG.AX,SEK.AX,SGP.AX,SHL.AX,STO.AX,SUN.AX,TAH.AX,TCL.AX,TLS.AX,TPG.AX,WBC.AX,WES.AX,WOW.AX,WTC.AX,XRO.AX,^AXJO
2020-01-02,8.29206371307373,31.91308212280273,12.058876037597656,18.13685607910156,8.034043312072754,66.3155746459961,23.707744598388672,13.461573600769045,9.99829387664795,64.9333267211914,212.1256103515625,12.258522987365724,257.4288330078125,8.628510475158691,5.758208274841309,19.454036712646484,12.49125862121582,6.4630279541015625,27.022613525390625,1.760287165641785,2.525364875793457,113.69713592529295,19.027984619140625,9.965838432312012,10.935225486755373,99.41163635253906,10.686199188232422,66.00212860107422,72.22657012939453,21.392654418945312,2.339599370956421,2.9464449882507324,20.63078689575196,3.372456312179565,24.223709106445312,6.8521013259887695,14.150856018066406,0.3153202831745147,12.073737144470217,3.035301446914673,5.272812366485596,19.06221008300781,33.88217544555664,26.453248977661133,23.164125442504883,79.75,6690.60009765625
2020-01-03,8.468281745910645,31.539833068847656,11.926445960998535,18.26983642578125,8.034043312072754,66.89413452148438,23.829479217529297,13.337093353271484,10.02406406402588,65.28286743164062,212.46450805664065,12.266684532165527,259.5440979003906,8.701571464538574,5.742183685302734,19.676681518554688,12.54702091217041,6.488607406616211,27.148387908935547,1.7643526792526243,2.5411975383758545,114.39154815673828,19.14415168762207,10.54061794281006,11.028834342956545,100.6300811767578,10.686199188232422,66.57039642333984,72.37651824951172,21.58695602416992,2.330869674682617,2.969404935836792,20.72252655029297,3.3869612216949463,24.443618774414062,7.010481834411621,14.205535888671877,0.3160117566585541,12.098044395446776,3.0437798500061035,5.351511001586914,19.19617080688477,34.209224700927734,26.50428771972656,23.559926986694336,79.72000122070312,6733.5
2020-01-06,8.566180229187012,31.96906852722168,11.74727725982666,18.19595718383789,8.07762622833252,66.98636627197266,23.98164939880371,13.230398178100586,10.041241645812988,64.84390258789062,212.7281188964844,12.225876808166504,259.076171875,8.694263458251953,5.752865791320801,19.96427154541016,12.62137508392334,6.377764701843262,27.361242294311523,1.774616003036499,2.55703067779541,113.77979278564452,19.012496948242188,10.699790000915527,10.89267635345459,101.34793090820312,10.6488676071167,66.70789337158203,72.2122802734375,21.645240783691406,2.374518632888794,2.977057933807373,20.685827255249023,3.4087188243865967,24.705814361572266,7.160528182983398,13.975884437561035,0.3132458031177521,12.049426078796388,3.069215774536133,5.39085865020752,19.18041038513184,34.50357437133789,26.4751205444336,23.48076438903809,80.76000213623047,6735.7001953125
2020-01-07,8.634709358215332,32.05304718017578,11.832963943481444,18.43236351013184,8.164793968200684,67.9673843383789,24.07295036315918,13.363767623901367,10.213034629821776,66.00633239746094,212.7281188964844,12.405428886413574,265.2723083496094,8.825774192810059,5.710134029388428,20.16836929321289,12.872314453125,6.497134208679199,27.39026641845703,1.7869458198547363,2.60452938079834,115.33399963378906,19.283552169799805,10.522933959960938,11.096911430358888,100.92288970947266,10.742196083068848,67.68860626220703,72.64784240722656,21.907548904418945,2.44435715675354,3.015323638916016,21.08945655822754,3.466740131378174,24.96801376342773,7.327244758605957,14.260215759277344,0.3180862367153168,12.235799789428713,3.145521879196167,5.453818321228027,19.401058197021484,35.214900970458984,26.934484481811523,23.67866516113281,82.04000091552734,6826.39990234375
2020-01-08,8.713029861450195,31.91308212280273,11.69274616241455,18.365875244140625,8.208380699157715,67.5816879272461,24.08512306213379,13.194830894470217,10.221625328063965,65.76246643066406,210.90171813964844,12.405428886413574,267.5466613769531,8.803855895996094,5.683426380157471,19.64885330200196,12.872314453125,6.480081558227539,27.835323333740234,1.7985427379608154,2.588696241378784,114.49903106689452,19.221593856811523,10.788216590881348,11.105422973632812,100.42228698730467,10.686199188232422,68.15605926513672,72.01948547363281,21.91726493835449,2.400708198547364,3.015323638916016,20.98854637145996,3.4522347450256348,25.196378707885746,7.410605430603027,14.238343238830566,0.3139373064041137,12.30062484741211,3.170957565307617,5.508907318115234,19.338014602661133,35.092254638671875,27.160512924194336,22.906856536865234,80.6500015258789,6817.60009765625
2020-01-09,8.507441520690918,32.678245544433594,11.80959415435791,18.388038635253903,8.302811622619629,67.95899963378906,24.3651123046875,13.719422340393066,10.264572143554688,66.24208068847656,216.16436767578125,12.4217529296875,272.46051025390625,8.803855895996094,5.779575347900391,19.61174774169922,13.048900604248049,6.480081558227539,28.39648056030273,1.814671516418457,2.5728635787963867,115.01984405517578,19.22933959960937,10.443349838256836,11.122441291809082,102.16966247558594,10.82619285583496,69.01765441894531,72.96916961669922,22.247577667236328,2.4356274604797363,3.015323638916016,21.19953727722168,3.481244802474976,25.424745559692383,7.393932819366455,14.424250602722168,0.3173947632312774,12.43027687072754,3.22182846069336,5.430208206176758,19.28285217285156,35.394779205322266,27.13863945007324,23.817195892333984,82.16000366210938,6874.2001953125
2020-01-10,8.360591888427734,32.96751403808594,11.832963943481444,18.55795669555664,8.27375602722168,68.8980941772461,24.28598022460937,13.772771835327148,10.39341640472412,67.0630874633789,219.06402587890625,12.780856132507324,280.1354064941406,8.767326354980469,5.715476036071777,19.48186492919922,13.039608001708984,6.522712707519531,28.599655151367188,1.802808403968811,2.588696241378784,116.02843475341795,19.30678367614746,10.125006675720217,11.224559783935549,102.44358825683594,10.82619285583496,68.5593490600586,73.14055633544922,22.3933048248291,2.44435715675354,3.04593563079834,21.080286026000977,3.517508029937744,25.670026779174805,7.402268886566162,14.511736869812012,0.3215436935424804,12.486997604370115,3.264220714569092,5.493168354034424,19.42469596862793,35.89353561401367,27.57612609863281,24.282257080078125,83.94999694824219,6929.0
2020-01-13,8.370381355285645,33.27545166015625,11.84854507446289,18.476694107055664,8.23743724822998,68.7723159790039,24.06077766418457,13.772771835327148,10.367648124694824,67.04682922363281,218.55563354492188,12.625788688659668,275.6428527832031,8.825774192810059,5.763549327850342,19.26849174499512,13.086077690124512,6.522712707519531,28.415830612182617,1.8167372941970823,2.588696241378784,115.3257293701172,19.30678367614746,10.284180641174316,11.182011604309082,103.27474975585938,10.80752658843994,68.44937133789062,72.89064025878906,22.130998611450195,2.4356274604797363,3.038282632827759,21.263750076293945,3.5102555751800537,25.653114318847656,7.36059045791626,14.500800132751465,0.3243095874786377,12.5518217086792,3.255742311477661,5.438076972961426,19.377412796020508,35.64823913574219,27.29176139831543,24.39109992980957,83.72000122070312,6903.7001953125
2020-01-14,8.487860679626465,33.2847785949707,11.9653959274292,18.6170597076416,8.440829277038574,68.80586242675781,24.37728500366211,14.22623348236084,10.556618690490724,67.60771942138672,219.242904663086,12.805340766906738,277.51470947265625,8.935365676879883,5.870381832122803,19.48186492919922,13.16972541809082,6.590924739837647,28.744781494140625,1.8138716220855715,2.580780029296875,116.67326354980467,19.407459259033203,10.195749282836914,11.267109870910645,104.97492218017578,10.788858413696287,68.62352752685547,74.24019622802734,22.33501625061035,2.5229263305664062,3.04593563079834,21.11697578430176,3.532013177871704,25.847644805908203,7.427276611328125,14.632030487060549,0.3250010907649994,12.665267944335938,3.2472643852233887,5.469557762145996,19.36165428161621,35.509254455566406,27.98444366455078,24.311941146850582,83.9800033569336,6962.2001953125
2020-01-15,8.546599388122559,33.592716217041016,12.035503387451172,18.653995513916016,8.498942375183105,69.20832824707031,24.456411361694336,14.021732330322266,10.754179954528809,68.00603485107422,222.18960571289065,12.75637149810791,278.6753234863281,8.935365676879883,5.795599937438965,19.75089836120605,13.262665748596191,6.625030517578125,28.92860984802246,1.8244686126708984,2.580780029296875,116.98741149902344,19.492652893066406,10.48756217956543,11.369230270385742,106.60894775390624,10.844858169555664,69.0451431274414,73.82605743408203,22.33501625061035,2.488006591796875,3.04593563079834,21.32796287536621,3.597286462783813,25.940683364868164,7.502299785614014,14.59922218322754,0.3236182034015655,12.746298789978027,3.255742311477661,5.46168851852417,19.45621681213379,35.70547103881836,27.933408737182617,24.074462890625,84.58000183105469,6994.7998046875
