Ticker,Alpha,Beta,Expected Return (CAPM)
AIA.AX,-0.0001437969032807603,0.7275699836330141,0.0663784991816507
ALL.AX,0.00044427434116791026,1.3111497802656564,0.09555748901328283
AMC.AX,0.00011039735408459032,0.5498357833272771,0.057491789166363855
ANZ.AX,0.00022420513763395756,1.171903052668696,0.0885951526334348
APA.AX,-9.781036410007652e-06,0.5658559448125551,0.058292797240627754
ASX.AX,-3.18708987407259e-05,0.6761393187920324,0.06380696593960161
BHP.AX,0.0002525978711766028,1.1040146824556822,0.08520073412278412
BSL.AX,0.00037049205943362565,1.2527920102146886,0.09263960051073443
BXB.AX,0.0005599243058727619,0.6668089104423832,0.06334044552211916
CBA.AX,0.0005743340593861172,1.1203148635446594,0.08601574317723297
COH.AX,0.00022064555484484818,0.9101401540548489,0.07550700770274245
COL.AX,0.0003361541195589198,0.5137766708659853,0.05568883354329927
CSL.AX,-0.00011807487372678252,0.8259016558280363,0.07129508279140181
DXS.AX,-0.00022519540761271718,0.861260839198362,0.07306304195991811
FMG.AX,0.0007749857544471234,1.1577462140361936,0.08788731070180969
FPH.AX,0.0004878403977897366,0.39969959524050835,0.049984979762025414
GMG.AX,0.0006726153534298647,1.0777838129061856,0.08388919064530928
IAG.AX,0.00015907650933869822,0.7931866252502798,0.069659331262514
JHX.AX,0.0003272298238012831,1.2190410903752484,0.09095205451876243
MGOC.AX,0.00037055591264383123,0.3997357908907636,0.04998678954453818
MGR.AX,-0.00014229878393416567,1.1247185814998406,0.08623592907499203
MQG.AX,0.0003586430283443676,1.290757617980225,0.09453788089901125
NAB.AX,0.00037688354412293904,1.135602288658216,0.08678011443291081
NST.AX,0.0006393944175216663,0.7304061140704415,0.06652030570352208
QBE.AX,0.00043872178029033445,1.1221527694621036,0.08610763847310518
REA.AX,0.0005434721535838919,1.2382500622860901,0.09191250311430452
REH.AX,0.00022106937549745234,0.9051646499817367,0.07525823249908684
RHC.AX,-0.0004080909583886708,0.8639834483150153,0.07319917241575077
RIO.AX,0.00022566362805681665,0.9006366294741464,0.07503183147370732
RMD.AX,0.0004928234177425748,0.5152128658227653,0.055760643291138265
S32.AX,0.00015339938899594898,1.3981904062045043,0.09990952031022522
SCG.AX,0.0001398016616302099,1.1493855766546643,0.08746927883273323
SEK.AX,6.091089596145071e-05,1.2322930517529103,0.0916146525876455
SGP.AX,0.00030037893977537234,1.204106844280389,0.09020534221401946
SHL.AX,3.731305875033816e-05,0.7277074716055776,0.06638537358027888
STO.AX,5.512358287434324e-05,1.2985167912300652,0.09492583956150326
SUN.AX,0.00020392438790014584,1.019840215302585,0.08099201076512924
TAH.AX,0.0007540343474696833,0.9037151803355926,0.07518575901677962
TCL.AX,-1.8437831696841632e-06,0.8283672514449796,0.07141836257224898
TLS.AX,0.0002771174062479215,0.5139133864104408,0.05569566932052204
TPG.AX,7.343777588321959e-06,0.7576992407087519,0.06788496203543759
WBC.AX,0.00027265811331083197,1.1261734599853384,0.08630867299926692
WES.AX,0.0005339980562104642,0.9386705165485083,0.07693352582742541
WOW.AX,6.529825195193174e-05,0.5781721890556388,0.05890860945278194
WTC.AX,0.0013970051227413759,1.1213453863391711,0.08606726931695856
XRO.AX,0.000579754914525149,1.215688120674089,0.09078440603370445
